region,peak_lag_ms,peak_correlation,lag_significant,null_95_ci,n_trials
MB,-125,-0.27894295110196676,False,500.0,5649
MRN,0,0.8912252577039504,False,500.0,9804
RSPagl6a,125,0.5630289388539952,False,500.0,691
RSPd6a,0,0.6204567379315089,False,500.0,691
RSPv5,200,0.2318706051450773,False,500.0,691
SCdg,0,0.8772836515081992,False,500.0,1434
SCig,0,0.8498768031938009,False,500.0,3828
SCiw,0,0.688340423940527,False,475.0,4571
SCop,50,0.35378019118310744,False,500.0,1222
SCsg,-25,0.2538078977588534,False,500.0,1222
CA1,0,0.817655336704187,False,500.0,7954
DG-mo,0,0.7380500251655957,False,500.0,7954
DG-sg,0,0.42198175745551025,False,500.0,6891
LP,275,-0.5070752245648532,False,500.0,2001
PO,0,0.7377838885573952,False,500.0,424
VISa2/3,-500,0.31484745400662983,False,500.0,2052
VISa5,-350,-0.4398464391410761,False,500.0,4033
VPM,-450,-0.607273553337411,False,500.0,424
APN,0,0.8944871995244618,False,500.0,6105
VISa6a,0,0.7355906377781374,False,500.0,2602
VISam6a,-125,-0.38075435445489664,False,500.0,660
DP,0,0.7207025604840002,False,500.0,1406
MOs2/3,75,0.47553827244643776,False,500.0,765
MOs5,-75,-0.5702795129739678,False,500.0,2158
MOs6a,-500,-0.506674913238366,False,500.0,1406
ORBm6a,-150,-0.4855071148465026,False,500.0,765
SUB,0,0.7159820176844269,False,500.0,1098
VISp5,125,-0.3243917725240286,False,500.0,1501
VISp6a,0,0.5831973176801796,False,500.0,1501
NOT,-475,-0.48290277441899754,False,500.0,1007
VISa4,0,0.4087367777607395,False,500.0,1628
DG-po,-275,0.45701095532439384,False,500.0,913
POL,-200,-0.3146735924720385,False,500.0,454
VISpm2/3,450,-0.3812358302311648,False,475.0,747
VISpm4,-200,0.32965315843785264,False,500.0,747
VISpm5,-75,-0.4455086017377407,False,500.0,747
VISpm6a,400,-0.5177903082298371,False,500.0,747
ILA6a,25,0.49365291445945025,False,500.0,641
PL6a,-500,-0.48445931125222413,False,500.0,641
