region,r_choice_peak,r_choice_mean,peak_latency_ms,r_peak_cca
APN,0.06898394068655525,0.02574412342122241,225,0.8871869326947979
CA1,0.04689583206667131,0.016454014327398687,700,0.9082994255558161
DG-mo,0.04109091303431529,0.013055252294655794,600,0.8852534737036984
DG-po,0.14049162428993694,0.05254487855922665,525,0.8706181352885449
DG-sg,0.0393217503381615,0.011168893149094885,25,0.8700283940899667
DP,0.11373210565002215,0.07124198518601595,900,0.721845907099983
ILA6a,0.20962109767953724,0.1689845766910542,675,0.8967213313845004
LP,0.10734711468711405,0.06252270804071917,-75,0.7542421641111554
MB,0.12315322126053574,0.045473740101258285,925,0.6600037388747009
MOs2/3,0.07764312942435993,0.057141282386061684,-200,0.9444878458616701
MOs5,0.20800027393120177,0.06750609881374131,125,0.750332009301136
MOs6a,0.17599361030240765,0.13211349975678552,725,0.7143624914744671
MRN,0.033656742703700684,0.01357069798482063,800,0.8707083880986239
NOT,0.14328623543935443,0.09647212278928155,675,0.5924281489704618
ORBm6a,0.11984758196159825,0.042343104288250014,375,0.8121691390845942
PL6a,0.25812134145792703,0.20148082959152536,-75,0.8809472410194066
PO,0.25633685699951747,0.18270077911666996,475,0.9190598179482492
POL,0.09552702633753846,0.04663251980137641,900,0.6805796295952945
RSPagl6a,0.18542985505948908,0.07185671216780495,0,0.5307157589915218
RSPd6a,0.17795122633963004,0.11090436983257028,425,0.7090146969193976
RSPv5,0.1584011311168632,0.07727844471181211,-25,0.5610439066107756
SCdg,0.33910516514581557,0.12866160956497916,75,0.7915717675438385
SCig,0.07853478356120022,0.027490110593437,25,0.8201297590566657
SCiw,0.057440720011520216,0.027419884439246357,350,0.802265214019425
SCop,0.09701998818505486,0.05045654007533169,500,0.49221170838272865
SUB,0.08077521424438915,0.034542110939409267,-50,0.9596674812972024
VISa2/3,0.10103818048795302,0.0489710034977637,300,0.49299783556230725
VISa4,0.14154461367822646,0.04823575018189212,75,0.506795259801534
VISa5,0.04524654615223961,0.0199234617287408,150,0.7043621462649877
VISam6a,0.166630125581279,0.07703529855355284,-825,0.6882340227559747
VISp5,0.078939802552871,0.026640337405191672,0,0.4866346575317352
VISp6a,0.04604676569822937,0.017236016690028673,525,0.8378699808089833
VISpm2/3,0.12719551927740724,0.04337870973254141,75,0.3402085087458919
VISpm4,0.13189193156288104,0.04744908220353437,125,0.3165388664285126
VISpm5,0.07760598783055137,0.040771382230528584,325,0.7711367632635726
VISpm6a,0.09170534742693778,0.043964290867849094,-350,0.8033211893307706
alv,0.1197230089166359,0.07567721785388812,275,0.4455836559439841
bsc,0.07807998687450449,0.031410820845885375,125,0.4003558086010702
dhc,0.10281549001011556,0.05951439066009308,-25,0.7718227130950017
fp,0.050691791549796486,0.02384367620010742,900,0.6667864081281027
or,0.08050012828929609,0.03603931089557968,275,0.4888768524446329
root,0.08211758006906898,0.0453952996151773,-400,0.923061873833144
